GEOID,B08101_001E,B08101_002E,B08101_003E,B08101_004E,B08101_005E,B08101_006E,B08101_007E,B08101_008E,B08101_009E,B08101_010E,B08101_011E,B08101_012E,B08101_013E,B08101_014E,B08101_015E,B08101_016E,B08101_017E,B08101_018E,B08101_019E,B08101_020E,B08101_021E,B08101_022E,B08101_023E,B08101_024E,B08101_025E,B08101_026E,B08101_027E,B08101_028E,B08101_029E,B08101_030E,B08101_031E,B08101_032E,B08101_033E,B08101_034E,B08101_035E,B08101_036E,B08101_037E,B08101_038E,B08101_039E,B08101_040E,B08101_041E,B08101_042E,B08101_043E,B08101_044E,B08101_045E,B08101_046E,B08101_047E,B08101_048E,B08101_049E,B08101_050E,B08101_051E,B08101_052E,B08101_053E,B08101_054E,B08101_055E,B08101_056E
37169070506,1233.0,31.0,130.0,345.0,240.0,144.0,228.0,115.0,1125.0,31.0,130.0,323.0,220.0,114.0,228.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,92.0,0.0,0.0,22.0,20.0,14.0,0.0,36.0
37169070600,2403.0,29.0,276.0,856.0,647.0,341.0,170.0,84.0,1977.0,29.0,234.0,677.0,510.0,290.0,170.0,67.0,232.0,0.0,42.0,53.0,86.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,33.0,0.0,0.0,0.0,17.0,22.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,71.0,51.0,0.0,0.0,0.0
37169070701,1475.0,224.0,334.0,361.0,312.0,154.0,55.0,35.0,1282.0,119.0,318.0,338.0,267.0,152.0,55.0,33.0,168.0,105.0,16.0,0.0,45.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0
37169070702,1063.0,67.0,73.0,460.0,187.0,175.0,62.0,39.0,866.0,67.0,73.0,316.0,178.0,158.0,50.0,24.0,149.0,0.0,0.0,120.0,5.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47.0,0.0,0.0,24.0,4.0,4.0,0.0,15.0
37171930101,1044.0,53.0,194.0,247.0,358.0,92.0,42.0,58.0,812.0,45.0,89.0,203.0,330.0,60.0,27.0,58.0,207.0,8.0,105.0,36.0,11.0,32.0,15.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
37171930102,2108.0,100.0,301.0,687.0,394.0,171.0,336.0,119.0,1756.0,87.0,252.0,530.0,352.0,119.0,304.0,112.0,286.0,0.0,49.0,157.0,17.0,24.0,32.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,13.0,0.0,0.0,0.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0
37171930201,1349.0,96.0,112.0,485.0,339.0,162.0,66.0,89.0,1118.0,78.0,101.0,431.0,253.0,150.0,66.0,39.0,130.0,7.0,11.0,27.0,23.0,12.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,11.0,0.0,27.0,0.0,0.0,0.0,0.0
37171930202,1419.0,60.0,185.0,550.0,194.0,154.0,189.0,87.0,1224.0,60.0,178.0,441.0,163.0,154.0,150.0,78.0,151.0,0.0,7.0,87.0,24.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,22.0,7.0,0.0,6.0,9.0
37171930301,590.0,6.0,20.0,168.0,279.0,28.0,43.0,46.0,566.0,6.0,20.0,151.0,279.0,21.0,43.0,46.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
37171930302,1472.0,9.0,60.0,695.0,218.0,93.0,260.0,137.0,1185.0,9.0,8.0,535.0,165.0,83.0,248.0,137.0,229.0,0.0,52.0,121.0,46.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,39.0,7.0,0.0,12.0,0.0
